[Data: 20/05/26 11:53:36][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 5; NewSlot: 2
[Data: 20/05/26 11:53:38][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 2; NewSlot: 1
[Data: 20/05/26 11:57:11][Room.RemovePlayer] Jogador '5018' 'aslanaraujo'; OldSlot: 3; NewSlot: -1
[Data: 20/05/26 11:57:23][Room.addPlayer] Jogador '5018' 'aslanaraujo'; OldSlot: -1; NewSlot: 2
[Data: 20/05/26 11:57:29][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 0; NewSlot: 3
[Data: 20/05/26 11:57:29][Room.SwitchNewSlot] Jogador '5018' 'aslanaraujo'; OldSlot: 2; NewSlot: 5
[Data: 20/05/26 11:57:31][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 3; NewSlot: 0
[Data: 20/05/26 12:00:10][Room.RemovePlayer] Jogador '5018' 'aslanaraujo'; OldSlot: 5; NewSlot: -1
[Data: 20/05/26 12:00:25][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 0; NewSlot: 3
[Data: 20/05/26 12:03:40][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 4; NewSlot: 5
[Data: 20/05/26 12:03:41][Room.SwitchNewSlot] Jogador '5016' 'VettSTT'; OldSlot: 1; NewSlot: 0
[Data: 20/05/26 12:03:42][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 5; NewSlot: 2
[Data: 20/05/26 12:03:44][Room.SwitchNewSlot] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 2; NewSlot: 1
[Data: 20/05/26 12:03:49][ROOM_CHANGE_TEAM_REC] Jogador '5001' 'HeroiSidiSTT'; NewSlot: 0
[Data: 20/05/26 12:03:49][ROOM_CHANGE_TEAM_REC] Jogador '5016' 'VettSTT'; NewSlot: 1
[Data: 20/05/26 12:03:49][ROOM_CHANGE_TEAM_REC] Jogador '5019' ':)'; NewSlot: 2
[Data: 20/05/26 12:03:52][ROOM_CHANGE_TEAM_REC] Jogador '5016' 'VettSTT'; NewSlot: 0
[Data: 20/05/26 12:03:52][ROOM_CHANGE_TEAM_REC] Jogador '5001' 'HeroiSidiSTT'; NewSlot: 1
[Data: 20/05/26 12:03:52][ROOM_CHANGE_TEAM_REC] Jogador '5019' ':)'; NewSlot: 3
[Data: 20/05/26 12:07:12][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 3; NewSlot: 2
[Data: 20/05/26 12:07:14][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 2; NewSlot: 3
[Data: 20/05/26 12:09:12][Room.RemovePlayer] Jogador '5019' ':)'; OldSlot: 3; NewSlot: -1
[Data: 20/05/26 12:09:17][Room.addPlayer] Jogador '5019' ':)'; OldSlot: -1; NewSlot: 2
[Data: 20/05/26 12:09:19][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 2; NewSlot: 3
[Data: 20/05/26 12:09:21][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 3; NewSlot: 2
[Data: 20/05/26 12:09:24][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 2; NewSlot: 3
[Data: 20/05/26 12:19:43][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 3; NewSlot: 2
[Data: 20/05/26 12:21:45][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 2; NewSlot: 3
[Data: 20/05/26 12:33:59][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 2
[Data: 20/05/26 12:45:00][Room.RemovePlayer] Jogador '5016' 'VettSTT'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 12:45:15][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 2; NewSlot: 5
[Data: 20/05/26 12:45:16][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 5; NewSlot: 0
[Data: 20/05/26 12:45:25][Room.RemovePlayer] Jogador '5001' 'HeroiSidiSTT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 12:45:27][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 3; NewSlot: 2
[Data: 20/05/26 12:45:29][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 2; NewSlot: 1
[Data: 20/05/26 12:54:39][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 1; NewSlot: 2
[Data: 20/05/26 12:54:49][Room.SwitchNewSlot] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: 1
[Data: 20/05/26 12:54:49][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 2; NewSlot: 3
[Data: 20/05/26 12:54:51][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 3; NewSlot: 0
[Data: 20/05/26 12:59:17][Room.RemovePlayer] Jogador '5019' ':)'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 12:59:27][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 13:06:26][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:06:28][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 13:06:34][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:06:37][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 13:06:58][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:18:26][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 13:38:28][Room.addPlayer] Jogador '5001' 'CésarAugusto'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:39:38][ROOM_CHANGE_TEAM_REC] Jogador '5001' 'CésarAugusto'; NewSlot: 1
[Data: 20/05/26 13:40:47][Room.addPlayer] Jogador '5016' 'VettSTT'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:41:00][Room.RemovePlayer] Jogador '5016' 'VettSTT'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 13:47:26][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:48:34][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 13:48:43][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:49:16][Room.addPlayer] Jogador '5016' 'VettSTT'; OldSlot: -1; NewSlot: 1
[Data: 20/05/26 13:50:01][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:50:22][Room.RemovePlayer] Jogador '5001' 'CésarAugusto'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 13:50:27][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 13:51:06][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 2
[Data: 20/05/26 13:51:36][Room.RemovePlayer] Jogador '5016' 'VettSTT'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 13:51:39][Room.RemovePlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: 2; NewSlot: -1
[Data: 20/05/26 13:51:59][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/05/26 13:52:15][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/26 13:52:21][Room.addPlayer] Jogador '5001' 'CésarAugusto'; OldSlot: -1; NewSlot: 1
[Data: 20/05/26 13:52:21][Room.addPlayer] Jogador '5007' 'zZzJ0k3RITzJpzZ'; OldSlot: -1; NewSlot: 2
[Data: 20/05/26 13:52:33][Room.addPlayer] Jogador '5006' 'MaxMilan'; OldSlot: -1; NewSlot: 3
[Data: 20/05/26 13:55:44][Room.addPlayer] Jogador '5019' ':)'; OldSlot: -1; NewSlot: 4
[Data: 20/05/26 13:55:48][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 4; NewSlot: 5
[Data: 20/05/26 13:55:56][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 5; NewSlot: 4
[Data: 20/05/26 13:56:24][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 4; NewSlot: 5
[Data: 20/05/26 14:05:37][Room.RemovePlayer] Jogador '5006' 'MaxMilan'; OldSlot: 3; NewSlot: -1
[Data: 20/05/26 14:05:41][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 5; NewSlot: 4
[Data: 20/05/26 14:05:44][Room.SwitchNewSlot] Jogador '5000' 'Destroylife1000'; OldSlot: 0; NewSlot: 3
[Data: 20/05/26 14:05:44][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 4; NewSlot: 5
[Data: 20/05/26 14:05:46][Room.SwitchNewSlot] Jogador '5019' ':)'; OldSlot: 5; NewSlot: 0
[Data: 20/05/26 14:19:54][Room.RemovePlayer] Jogador '5001' 'CésarAugusto'; OldSlot: 1; NewSlot: -1
[Data: 20/05/26 14:20:28][ROOM_CHANGE_TEAM_REC] Jogador '5019' ':)'; NewSlot: 1
