[Data: 20/05/27 23:20:31][Room.addPlayer] Jogador '5025' '[MOD] STEVE'; OldSlot: -1; NewSlot: 2
[Data: 20/05/27 23:29:57][Room.SwitchNewSlot] Jogador '5019' 'DznnNN.5K'; OldSlot: 4; NewSlot: 7
[Data: 20/05/27 23:30:15][Room.SwitchNewSlot] Jogador '5000' 'Destroylife1000'; OldSlot: 0; NewSlot: 9
[Data: 20/05/27 23:30:37][Room.SwitchNewSlot] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 5; NewSlot: 0
[Data: 20/05/27 23:30:41][Room.SwitchNewSlot] Jogador '5019' 'DznnNN.5K'; OldSlot: 7; NewSlot: 4
[Data: 20/05/27 23:30:51][Room.SwitchNewSlot] Jogador '5000' 'Destroylife1000'; OldSlot: 9; NewSlot: 6
[Data: 20/05/27 23:31:01][Room.SwitchNewSlot] Jogador '5025' '[MOD] STEVE'; OldSlot: 2; NewSlot: 5
[Data: 20/05/27 23:38:02][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 1; NewSlot: -1
[Data: 20/05/27 23:38:10][Room.addPlayer] Jogador '5005' 'GM CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 23:38:23][Room.RemovePlayer] Jogador '5022' 'OrNoTDLL'; OldSlot: 3; NewSlot: -1
[Data: 20/05/27 23:38:55][Room.RemovePlayer] Jogador '5005' 'GM CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 23:39:07][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 6; NewSlot: -1
[Data: 20/05/27 23:39:07][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 4; NewSlot: -1
[Data: 20/05/27 23:39:08][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 0; NewSlot: -1
[Data: 20/05/27 23:39:08][Room.RemovePlayer] Jogador '5025' '[MOD] STEVE'; OldSlot: 5; NewSlot: -1
[Data: 20/05/27 23:39:18][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/05/27 23:39:47][Room.addPlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: -1; NewSlot: 1
[Data: 20/05/27 23:51:29][Room.SwitchNewSlot] Jogador '5000' 'Destroylife1000'; OldSlot: 0; NewSlot: 3
[Data: 20/05/27 23:56:38][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 3; NewSlot: -1
[Data: 20/05/27 23:58:35][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 00:01:37][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 00:03:55][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 00:04:31][Room.addPlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 00:11:07][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 00:11:10][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 00:14:47][Room.addPlayer] Jogador '5000' 'Destroylife1000'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 00:14:49][Room.RemovePlayer] Jogador '5000' 'Destroylife1000'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 00:15:04][Room.RemovePlayer] Jogador '5019' 'DznnNN.5K'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 01:55:05][Room.addPlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 01:55:07][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 01:55:18][Room.addPlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 01:58:06][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 01:58:11][Room.addPlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:14:36][Room.addPlayer] Jogador '5028' 'Fakº'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:15:21][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 02:15:25][Room.addPlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 02:18:32][Room.RemovePlayer] Jogador '5028' 'Fakº'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 02:18:38][Room.addPlayer] Jogador '5028' 'Fakº'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:19:24][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 1; NewSlot: -1
[Data: 20/05/28 02:19:28][Room.addPlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 02:19:30][Room.SwitchNewSlot] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 1; NewSlot: 2
[Data: 20/05/28 02:21:22][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 2; NewSlot: -1
[Data: 20/05/28 02:22:40][Room.addPlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: -1; NewSlot: 0
[Data: 20/05/28 02:22:56][Room.RemovePlayer] Jogador '5028' 'Fakº'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 02:23:00][Room.addPlayer] Jogador '5028' 'Fakº'; OldSlot: -1; NewSlot: 1
[Data: 20/05/28 02:24:00][Room.RemovePlayer] Jogador '5020' '*-*ERRO404*-*'; OldSlot: 0; NewSlot: -1
[Data: 20/05/28 02:24:08][Room.RemovePlayer] Jogador '5028' 'Fakº'; OldSlot: 1; NewSlot: -1
